verb,ich_prsens,du_prsens,er_prsens,wir_prsens,ihr_prsens,sie_prsens,ich_prteritum,du_prteritum,er_prteritum,wir_prteritum,ihr_prteritum,sie_prteritum,ich_perfekt,du_perfekt,er_perfekt,wir_perfekt,ihr_perfekt,sie_perfekt,ich_plusquamperfekt,du_plusquamperfekt,er_plusquamperfekt,wir_plusquamperfekt,ihr_plusquamperfekt,sie_plusquamperfekt,ich_futuri,du_futuri,er_futuri,wir_futuri,ihr_futuri,sie_futuri,ich_futurii,du_futurii,er_futurii,wir_futurii,ihr_futurii,sie_futurii,ich_konjunktivi,du_konjunktivi,er_konjunktivi,wir_konjunktivi,ihr_konjunktivi,sie_konjunktivi,ich_konjunktivii,du_konjunktivii,er_konjunktivii,wir_konjunktivii,ihr_konjunktivii,sie_konjunktivii,ich_konjunktiv_perfekt,du_konjunktiv_perfekt,er_konjunktiv_perfekt,wir_konjunktiv_perfekt,ihr_konjunktiv_perfekt,sie_konjunktiv_perfekt,ich_konjunktiv_plusquamperfekt,du_konjunktiv_plusquamperfekt,er_konjunktiv_plusquamperfekt,wir_konjunktiv_plusquamperfekt,ihr_konjunktiv_plusquamperfekt,sie_konjunktiv_plusquamperfekt,ich_konjunktiv_futur1,du_konjunktiv_futur1,er_konjunktiv_futur1,wir_konjunktiv_futur1,ihr_konjunktiv_futur1,sie_konjunktiv_futur1,ich_konjunktiv_futur2,du_konjunktiv_futur2,er_konjunktiv_futur2,wir_konjunktiv_futur2,ihr_konjunktiv_futur2,sie_konjunktiv_futur2,infinitiv1_form1,infinitiv1_form2,infinitiv2_form1,infinitiv2_form2,partizip1,partizip2,imperativ_du,imperativ_wir,imperativ_ihr,imperativ_sie
pfänden,pfände,pfändest,pfändet,pfänden,pfändet,pfänden,pfändete,pfändetest,pfändete,pfändeten,pfändetet,pfändeten,habe gepfändet,hast gepfändet,hat gepfändet,haben gepfändet,habt gepfändet,haben gepfändet,hatte gepfändet,hattest gepfändet,hatte gepfändet,hatten gepfändet,hattet gepfändet,hatten gepfändet,werde pfänden,wirst pfänden,wird pfänden,werden pfänden,werdet pfänden,werden pfänden,werde gepfändet haben,wirst gepfändet haben,wird gepfändet haben,werden gepfändet haben,werdet gepfändet haben,werden gepfändet haben,pfände,pfändest,pfände,pfänden,pfändet,pfänden,pfändete,pfändetest,pfändete,pfändeten,pfändetet,pfändeten,habe gepfändet,habest gepfändet,habe gepfändet,haben gepfändet,habet gepfändet,haben gepfändet,hätte gepfändet,hättest gepfändet,hätte gepfändet,hätten gepfändet,hättet gepfändet,hätten gepfändet,werde pfänden,werdest pfänden,werde pfänden,werden pfänden,werdet pfänden,werden pfänden,werde gepfändet haben,werdest gepfändet haben,werde gepfändet haben,werden gepfändet haben,werdet gepfändet haben,werden gepfändet haben,pfänden,zu pfänden,gepfändet haben,gepfändet zu haben,pfändend,gepfändet,pfände du,pfänden wir,pfändet ihr,pfänden Sie
backen,backe,backst,backt,backen,backt,backen,backte,backtest,backte,backten,backtet,backten,habe gebacken,hast gebacken,hat gebacken,haben gebacken,habt gebacken,haben gebacken,hatte gebacken,hattest gebacken,hatte gebacken,hatten gebacken,hattet gebacken,hatten gebacken,werde backen,wirst backen,wird backen,werden backen,werdet backen,werden backen,werde gebacken haben,wirst gebacken haben,wird gebacken haben,werden gebacken haben,werdet gebacken haben,werden gebacken haben,backe,backest,backe,backen,backet,backen,backte,backtest,backte,backten,backtet,backten,habe gebacken,habest gebacken,habe gebacken,haben gebacken,habet gebacken,haben gebacken,hätte gebacken,hättest gebacken,hätte gebacken,hätten gebacken,hättet gebacken,hätten gebacken,werde backen,werdest backen,werde backen,werden backen,werdet backen,werden backen,werde gebacken haben,werdest gebacken haben,werde gebacken haben,werden gebacken haben,werdet gebacken haben,werden gebacken haben,backen,zu backen,gebacken haben,gebacken zu haben,backend,gebacken,backe du,backen wir,backt ihr,backen Sie
ausnützen,nütze aus,nützt aus,nützt aus,nützen aus,nützt aus,nützen aus,nützte aus,nütztest aus,nützte aus,nützten aus,nütztet aus,nützten aus,habe ausgenützt,hast ausgenützt,hat ausgenützt,haben ausgenützt,habt ausgenützt,haben ausgenützt,hatte ausgenützt,hattest ausgenützt,hatte ausgenützt,hatten ausgenützt,hattet ausgenützt,hatten ausgenützt,werde ausnützen,wirst ausnützen,wird ausnützen,werden ausnützen,werdet ausnützen,werden ausnützen,werde ausgenützt haben,wirst ausgenützt haben,wird ausgenützt haben,werden ausgenützt haben,werdet ausgenützt haben,werden ausgenützt haben,nütze aus,nützest aus,nütze aus,nützen aus,nützet aus,nützen aus,nützte aus,nütztest aus,nützte aus,nützten aus,nütztet aus,nützten aus,habe ausgenützt,habest ausgenützt,habe ausgenützt,haben ausgenützt,habet ausgenützt,haben ausgenützt,hätte ausgenützt,hättest ausgenützt,hätte ausgenützt,hätten ausgenützt,hättet ausgenützt,hätten ausgenützt,werde ausnützen,werdest ausnützen,werde ausnützen,werden ausnützen,werdet ausnützen,werden ausnützen,werde ausgenützt haben,werdest ausgenützt haben,werde ausgenützt haben,werden ausgenützt haben,werdet ausgenützt haben,werden ausgenützt haben,ausnützen,auszunützen,ausgenützt haben,ausgenützt zu haben,ausnützend,ausgenützt,nütze du aus,nützen wir aus,nützt ihr aus,nützen Sie aus
verwehen,verwehe,verwehst,verweht,verwehen,verweht,verwehen,verwehte,verwehtest,verwehte,verwehten,verwehtet,verwehten,habe verweht,hast verweht,hat verweht,haben verweht,habt verweht,haben verweht,hatte verweht,hattest verweht,hatte verweht,hatten verweht,hattet verweht,hatten verweht,werde verwehen,wirst verwehen,wird verwehen,werden verwehen,werdet verwehen,werden verwehen,werde verweht haben,wirst verweht haben,wird verweht haben,werden verweht haben,werdet verweht haben,werden verweht haben,verwehe,verwehest,verwehe,verwehen,verwehet,verwehen,verwehte,verwehtest,verwehte,verwehten,verwehtet,verwehten,habe verweht,habest verweht,habe verweht,haben verweht,habet verweht,haben verweht,hätte verweht,hättest verweht,hätte verweht,hätten verweht,hättet verweht,hätten verweht,werde verwehen,werdest verwehen,werde verwehen,werden verwehen,werdet verwehen,werden verwehen,werde verweht haben,werdest verweht haben,werde verweht haben,werden verweht haben,werdet verweht haben,werden verweht haben,verwehen,zu verwehen,verweht haben,verweht zu haben,verwehend,verweht,verwehe du,verwehen wir,verweht ihr,verwehen Sie
besprechen,bespreche,besprichst,bespricht,besprechen,besprecht,besprechen,besprach,besprachst,besprach,besprachen,bespracht,besprachen,habe besprochen,hast besprochen,hat besprochen,haben besprochen,habt besprochen,haben besprochen,hatte besprochen,hattest besprochen,hatte besprochen,hatten besprochen,hattet besprochen,hatten besprochen,werde besprechen,wirst besprechen,wird besprechen,werden besprechen,werdet besprechen,werden besprechen,werde besprochen haben,wirst besprochen haben,wird besprochen haben,werden besprochen haben,werdet besprochen haben,werden besprochen haben,bespreche,besprechest,bespreche,besprechen,besprechet,besprechen,bespräche,besprächest,bespräche,besprächen,besprächet,besprächen,habe besprochen,habest besprochen,habe besprochen,haben besprochen,habet besprochen,haben besprochen,hätte besprochen,hättest besprochen,hätte besprochen,hätten besprochen,hättet besprochen,hätten besprochen,werde besprechen,werdest besprechen,werde besprechen,werden besprechen,werdet besprechen,werden besprechen,werde besprochen haben,werdest besprochen haben,werde besprochen haben,werden besprochen haben,werdet besprochen haben,werden besprochen haben,besprechen,zu besprechen,besprochen haben,besprochen zu haben,besprechend,besprochen,besprich du,besprechen wir,besprecht ihr,besprechen Sie
lächeln,lächele,lächelst,lächelt,lächeln,lächelt,lächeln,lächelte,lächeltest,lächelte,lächelten,lächeltet,lächelten,habe gelächelt,hast gelächelt,hat gelächelt,haben gelächelt,habt gelächelt,haben gelächelt,hatte gelächelt,hattest gelächelt,hatte gelächelt,hatten gelächelt,hattet gelächelt,hatten gelächelt,werde lächeln,wirst lächeln,wird lächeln,werden lächeln,werdet lächeln,werden lächeln,werde gelächelt haben,wirst gelächelt haben,wird gelächelt haben,werden gelächelt haben,werdet gelächelt haben,werden gelächelt haben,lächele,lächelst,lächele,lächeln,lächelt,lächeln,lächelte,lächeltest,lächelte,lächelten,lächeltet,lächelten,habe gelächelt,habest gelächelt,habe gelächelt,haben gelächelt,habet gelächelt,haben gelächelt,hätte gelächelt,hättest gelächelt,hätte gelächelt,hätten gelächelt,hättet gelächelt,hätten gelächelt,werde lächeln,werdest lächeln,werde lächeln,werden lächeln,werdet lächeln,werden lächeln,werde gelächelt haben,werdest gelächelt haben,werde gelächelt haben,werden gelächelt haben,werdet gelächelt haben,werden gelächelt haben,lächeln,zu lächeln,gelächelt haben,gelächelt zu haben,lächelnd,gelächelt,lächele du,lächeln wir,lächelt ihr,lächeln Sie
verderben,verderbe,verdirbst,verdirbt,verderben,verderbt,verderben,verdarb,verdarbst,verdarb,verdarben,verdarbt,verdarben,habe verdorben,hast verdorben,hat verdorben,haben verdorben,habt verdorben,haben verdorben,hatte verdorben,hattest verdorben,hatte verdorben,hatten verdorben,hattet verdorben,hatten verdorben,werde verderben,wirst verderben,wird verderben,werden verderben,werdet verderben,werden verderben,werde verdorben haben,wirst verdorben haben,wird verdorben haben,werden verdorben haben,werdet verdorben haben,werden verdorben haben,verderbe,verderbest,verderbe,verderben,verderbet,verderben,verdürbe,verdürbest,verdürbe,verdürben,verdürbet,verdürben,habe verdorben,habest verdorben,habe verdorben,haben verdorben,habet verdorben,haben verdorben,hätte verdorben,hättest verdorben,hätte verdorben,hätten verdorben,hättet verdorben,hätten verdorben,werde verderben,werdest verderben,werde verderben,werden verderben,werdet verderben,werden verderben,werde verdorben haben,werdest verdorben haben,werde verdorben haben,werden verdorben haben,werdet verdorben haben,werden verdorben haben,verderben,zu verderben,verdorben haben,verdorben zu haben,verderbend,verdorben,verdirb du,verderben wir,verderbt ihr,verderben Sie
versprechen,verspreche,versprichst,verspricht,versprechen,versprecht,versprechen,versprach,versprachst,versprach,versprachen,verspracht,versprachen,habe versprochen,hast versprochen,hat versprochen,haben versprochen,habt versprochen,haben versprochen,hatte versprochen,hattest versprochen,hatte versprochen,hatten versprochen,hattet versprochen,hatten versprochen,werde versprechen,wirst versprechen,wird versprechen,werden versprechen,werdet versprechen,werden versprechen,werde versprochen haben,wirst versprochen haben,wird versprochen haben,werden versprochen haben,werdet versprochen haben,werden versprochen haben,verspreche,versprechest,verspreche,versprechen,versprechet,versprechen,verspräche,versprächest,verspräche,versprächen,versprächet,versprächen,habe versprochen,habest versprochen,habe versprochen,haben versprochen,habet versprochen,haben versprochen,hätte versprochen,hättest versprochen,hätte versprochen,hätten versprochen,hättet versprochen,hätten versprochen,werde versprechen,werdest versprechen,werde versprechen,werden versprechen,werdet versprechen,werden versprechen,werde versprochen haben,werdest versprochen haben,werde versprochen haben,werden versprochen haben,werdet versprochen haben,werden versprochen haben,versprechen,zu versprechen,versprochen haben,versprochen zu haben,versprechend,versprochen,versprich du,versprechen wir,versprecht ihr,versprechen Sie
tanken,tanke,tankst,tankt,tanken,tankt,tanken,tankte,tanktest,tankte,tankten,tanktet,tankten,habe getankt,hast getankt,hat getankt,haben getankt,habt getankt,haben getankt,hatte getankt,hattest getankt,hatte getankt,hatten getankt,hattet getankt,hatten getankt,werde tanken,wirst tanken,wird tanken,werden tanken,werdet tanken,werden tanken,werde getankt haben,wirst getankt haben,wird getankt haben,werden getankt haben,werdet getankt haben,werden getankt haben,tanke,tankest,tanke,tanken,tanket,tanken,tankte,tanktest,tankte,tankten,tanktet,tankten,habe getankt,habest getankt,habe getankt,haben getankt,habet getankt,haben getankt,hätte getankt,hättest getankt,hätte getankt,hätten getankt,hättet getankt,hätten getankt,werde tanken,werdest tanken,werde tanken,werden tanken,werdet tanken,werden tanken,werde getankt haben,werdest getankt haben,werde getankt haben,werden getankt haben,werdet getankt haben,werden getankt haben,tanken,zu tanken,getankt haben,getankt zu haben,tankend,getankt,tanke du,tanken wir,tankt ihr,tanken Sie
installieren,installiere,installierst,installiert,installieren,installiert,installieren,installierte,installiertest,installierte,installierten,installiertet,installierten,habe installiert,hast installiert,hat installiert,haben installiert,habt installiert,haben installiert,hatte installiert,hattest installiert,hatte installiert,hatten installiert,hattet installiert,hatten installiert,werde installieren,wirst installieren,wird installieren,werden installieren,werdet installieren,werden installieren,werde installiert haben,wirst installiert haben,wird installiert haben,werden installiert haben,werdet installiert haben,werden installiert haben,installiere,installierest,installiere,installieren,installieret,installieren,installierte,installiertest,installierte,installierten,installiertet,installierten,habe installiert,habest installiert,habe installiert,haben installiert,habet installiert,haben installiert,hätte installiert,hättest installiert,hätte installiert,hätten installiert,hättet installiert,hätten installiert,werde installieren,werdest installieren,werde installieren,werden installieren,werdet installieren,werden installieren,werde installiert haben,werdest installiert haben,werde installiert haben,werden installiert haben,werdet installiert haben,werden installiert haben,installieren,zu installieren,installiert haben,installiert zu haben,installierend,installiert,installiere du,installieren wir,installiert ihr,installieren Sie
kämpfen,kämpfe,kämpfst,kämpft,kämpfen,kämpft,kämpfen,kämpfte,kämpftest,kämpfte,kämpften,kämpftet,kämpften,habe gekämpft,hast gekämpft,hat gekämpft,haben gekämpft,habt gekämpft,haben gekämpft,hatte gekämpft,hattest gekämpft,hatte gekämpft,hatten gekämpft,hattet gekämpft,hatten gekämpft,werde kämpfen,wirst kämpfen,wird kämpfen,werden kämpfen,werdet kämpfen,werden kämpfen,werde gekämpft haben,wirst gekämpft haben,wird gekämpft haben,werden gekämpft haben,werdet gekämpft haben,werden gekämpft haben,kämpfe,kämpfest,kämpfe,kämpfen,kämpfet,kämpfen,kämpfte,kämpftest,kämpfte,kämpften,kämpftet,kämpften,habe gekämpft,habest gekämpft,habe gekämpft,haben gekämpft,habet gekämpft,haben gekämpft,hätte gekämpft,hättest gekämpft,hätte gekämpft,hätten gekämpft,hättet gekämpft,hätten gekämpft,werde kämpfen,werdest kämpfen,werde kämpfen,werden kämpfen,werdet kämpfen,werden kämpfen,werde gekämpft haben,werdest gekämpft haben,werde gekämpft haben,werden gekämpft haben,werdet gekämpft haben,werden gekämpft haben,kämpfen,zu kämpfen,gekämpft haben,gekämpft zu haben,kämpfend,gekämpft,kämpfe du,kämpfen wir,kämpft ihr,kämpfen Sie
putzen,putze,putzt,putzt,putzen,putzt,putzen,putzte,putztest,putzte,putzten,putztet,putzten,habe geputzt,hast geputzt,hat geputzt,haben geputzt,habt geputzt,haben geputzt,hatte geputzt,hattest geputzt,hatte geputzt,hatten geputzt,hattet geputzt,hatten geputzt,werde putzen,wirst putzen,wird putzen,werden putzen,werdet putzen,werden putzen,werde geputzt haben,wirst geputzt haben,wird geputzt haben,werden geputzt haben,werdet geputzt haben,werden geputzt haben,putze,putzest,putze,putzen,putzet,putzen,putzte,putztest,putzte,putzten,putztet,putzten,habe geputzt,habest geputzt,habe geputzt,haben geputzt,habet geputzt,haben geputzt,hätte geputzt,hättest geputzt,hätte geputzt,hätten geputzt,hättet geputzt,hätten geputzt,werde putzen,werdest putzen,werde putzen,werden putzen,werdet putzen,werden putzen,werde geputzt haben,werdest geputzt haben,werde geputzt haben,werden geputzt haben,werdet geputzt haben,werden geputzt haben,putzen,zu putzen,geputzt haben,geputzt zu haben,putzend,geputzt,putze du,putzen wir,putzt ihr,putzen Sie
vereinbaren,vereinbare,vereinbarst,vereinbart,vereinbaren,vereinbart,vereinbaren,vereinbarte,vereinbartest,vereinbarte,vereinbarten,vereinbartet,vereinbarten,habe vereinbart,hast vereinbart,hat vereinbart,haben vereinbart,habt vereinbart,haben vereinbart,hatte vereinbart,hattest vereinbart,hatte vereinbart,hatten vereinbart,hattet vereinbart,hatten vereinbart,werde vereinbaren,wirst vereinbaren,wird vereinbaren,werden vereinbaren,werdet vereinbaren,werden vereinbaren,werde vereinbart haben,wirst vereinbart haben,wird vereinbart haben,werden vereinbart haben,werdet vereinbart haben,werden vereinbart haben,vereinbare,vereinbarest,vereinbare,vereinbaren,vereinbaret,vereinbaren,vereinbarte,vereinbartest,vereinbarte,vereinbarten,vereinbartet,vereinbarten,habe vereinbart,habest vereinbart,habe vereinbart,haben vereinbart,habet vereinbart,haben vereinbart,hätte vereinbart,hättest vereinbart,hätte vereinbart,hätten vereinbart,hättet vereinbart,hätten vereinbart,werde vereinbaren,werdest vereinbaren,werde vereinbaren,werden vereinbaren,werdet vereinbaren,werden vereinbaren,werde vereinbart haben,werdest vereinbart haben,werde vereinbart haben,werden vereinbart haben,werdet vereinbart haben,werden vereinbart haben,vereinbaren,zu vereinbaren,vereinbart haben,vereinbart zu haben,vereinbarend,vereinbart,vereinbare du,vereinbaren wir,vereinbart ihr,vereinbaren Sie
über,lege über,legst über,legt über,legen über,legt über,legen über,legte über,legtest über,legte über,legten über,legtet über,legten über,habe übergelegt,hast übergelegt,hat übergelegt,haben übergelegt,habt übergelegt,haben übergelegt,hatte übergelegt,hattest übergelegt,hatte übergelegt,hatten übergelegt,hattet übergelegt,hatten übergelegt,werde überlegen,wirst überlegen,wird überlegen,werden überlegen,werdet überlegen,werden überlegen,werde übergelegt haben,wirst übergelegt haben,wird übergelegt haben,werden übergelegt haben,werdet übergelegt haben,werden übergelegt haben,lege über,legest über,lege über,legen über,leget über,legen über,legte über,legtest über,legte über,legten über,legtet über,legten über,habe übergelegt,habest übergelegt,habe übergelegt,haben übergelegt,habet übergelegt,haben übergelegt,hätte übergelegt,hättest übergelegt,hätte übergelegt,hätten übergelegt,hättet übergelegt,hätten übergelegt,werde überlegen,werdest überlegen,werde überlegen,werden überlegen,werdet überlegen,werden überlegen,werde übergelegt haben,werdest übergelegt haben,werde übergelegt haben,werden übergelegt haben,werdet übergelegt haben,werden übergelegt haben,überlegen,überzulegen,übergelegt haben,übergelegt zu haben,überlegend,übergelegt,lege du über,legen wir über,legt ihr über,legen Sie über
küssen,küsse,küsst,küsst,küssen,küsst,küssen,küsste,küsstest,küsste,küssten,küsstet,küssten,habe geküsst,hast geküsst,hat geküsst,haben geküsst,habt geküsst,haben geküsst,hatte geküsst,hattest geküsst,hatte geküsst,hatten geküsst,hattet geküsst,hatten geküsst,werde küssen,wirst küssen,wird küssen,werden küssen,werdet küssen,werden küssen,werde geküsst haben,wirst geküsst haben,wird geküsst haben,werden geküsst haben,werdet geküsst haben,werden geküsst haben,küsse,küssest,küsse,küssen,küsset,küssen,küsste,küsstest,küsste,küssten,küsstet,küssten,habe geküsst,habest geküsst,habe geküsst,haben geküsst,habet geküsst,haben geküsst,hätte geküsst,hättest geküsst,hätte geküsst,hätten geküsst,hättet geküsst,hätten geküsst,werde küssen,werdest küssen,werde küssen,werden küssen,werdet küssen,werden küssen,werde geküsst haben,werdest geküsst haben,werde geküsst haben,werden geküsst haben,werdet geküsst haben,werden geküsst haben,küssen,zu küssen,geküsst haben,geküsst zu haben,küssend,geküsst,küsse du,küssen wir,küsst ihr,küssen Sie
